               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  59,            0.030651,            0.016902,           0.0043414,             0.95597,             0.95655,             0.97139,              0.5964,             0.02383,            0.008582,           0.0020787,            0.004258,            0.004258,            0.004258
                  60,            0.031954,            0.017254,           0.0048122,             0.95364,             0.97672,             0.98115,             0.54904,            0.024772,           0.0087667,           0.0024119,            0.004159,            0.004159,            0.004159
                  61,            0.029109,            0.016068,           0.0036059,             0.95809,             0.97129,             0.97067,             0.57756,            0.023394,           0.0086791,            0.002456,             0.00406,             0.00406,             0.00406
                  62,            0.030556,            0.016066,           0.0038279,             0.96287,             0.96638,             0.97556,              0.5964,            0.023229,           0.0086931,           0.0026105,            0.003961,            0.003961,            0.003961
                  63,              0.0303,            0.016355,           0.0034974,             0.95599,             0.95787,             0.96645,             0.58429,            0.023961,           0.0088912,           0.0022822,            0.003862,            0.003862,            0.003862
                  64,             0.02894,            0.015151,           0.0033473,             0.97468,             0.94854,             0.96893,             0.58211,             0.02506,           0.0089159,           0.0029162,            0.003763,            0.003763,            0.003763
                  65,            0.030045,            0.016132,           0.0043804,             0.97267,             0.95459,             0.97332,             0.61444,            0.025308,           0.0088282,           0.0027739,            0.003664,            0.003664,            0.003664
                  66,            0.028923,            0.016524,            0.003261,             0.95859,             0.96783,             0.97385,             0.58291,            0.024741,           0.0088815,            0.002981,            0.003565,            0.003565,            0.003565
                  67,              0.0304,            0.016587,           0.0049472,             0.95719,             0.96886,             0.97399,             0.59618,            0.023491,           0.0090241,           0.0028337,            0.003466,            0.003466,            0.003466
                  68,            0.028804,            0.015628,           0.0046311,             0.95901,             0.96194,             0.97613,             0.59464,            0.024393,           0.0092008,           0.0026801,            0.003367,            0.003367,            0.003367
                  69,            0.027398,            0.015588,           0.0040854,             0.93482,             0.95978,             0.97245,              0.5819,            0.024545,           0.0089998,           0.0025203,            0.003268,            0.003268,            0.003268
                  70,            0.028722,            0.014802,           0.0028902,             0.95455,             0.96739,             0.98098,             0.58887,             0.02319,           0.0089374,           0.0023549,            0.003169,            0.003169,            0.003169
